solvable;conf;price;weight;time;complexity
True;0111;4392;135;1.9704995793290436e-05;11
True;0000;0;0;4.644993168767542e-06;1
True;1000;2209;107;1.0664000001270324e-05;4
True;0011;2230;233;2.1347994334064424e-05;10
True;0000;0;0;4.197005182504654e-06;1
False;0100;1992;119;1.3072996807750314e-05;5
False;1101;2582;147;1.7774997104424983e-05;10
False;0001;924;39;5.256995791569352e-06;2
True;1100;3726;264;1.9041006453335285e-05;10
True;0000;0;0;3.991997800767422e-06;1
True;0001;2063;187;1.3393000699579716e-05;5
True;1101;3013;185;1.638400135561824e-05;8
True;0000;0;0;4.429995897226036e-06;1
True;0000;0;0;4.337001882959157e-06;1
False;0100;1742;145;1.0432006092742085e-05;3
False;0010;1664;87;7.86400050856173e-06;2
False;0010;2403;33;6.665999535471201e-06;3
True;1100;2193;238;1.6502002836205065e-05;8
False;1001;1648;134;9.51700349105522e-06;4
True;0101;2260;56;9.246999979950488e-06;4
False;1110;4656;275;2.524700539652258e-05;14
True;0100;1185;46;6.317000952549279e-06;2
False;0110;3714;125;1.7136000678874552e-05;8
False;1000;1360;3;7.208000170066953e-06;2
False;1000;365;3;7.529000868089497e-06;2
True;1110;4730;93;2.2340005671139807e-05;14
True;0100;184;135;7.276001269929111e-06;2
False;1011;6260;116;1.4234996342565864e-05;8
True;1011;4385;214;2.5818000722210854e-05;14
True;1110;5391;401;2.3977998353075236e-05;14
False;1110;5007;226;2.1323998225852847e-05;12
True;1011;5574;420;2.4589004169683903e-05;15
True;1101;3265;366;2.4829998437780887e-05;14
False;0100;2013;20;8.044997230172157e-06;2
True;1000;1598;50;9.51700349105522e-06;2
True;1101;5384;394;2.6405999960843474e-05;12
False;1010;3796;109;1.75300010596402e-05;6
True;0010;1410;9;7.043003279250115e-06;2
False;1110;4660;231;2.7181995392311364e-05;14
False;0111;5359;590;3.058100264752284e-05;15
False;0001;1462;194;1.784299820428714e-05;6
False;0010;2500;5;7.218004611786455e-06;2
True;1100;3195;93;1.631800114409998e-05;5
False;0011;3293;128;1.619500108063221e-05;6
False;1101;5771;153;2.3362998035736382e-05;8
False;0110;3079;244;1.82189978659153e-05;9
True;1001;3429;190;1.418700412614271e-05;6
True;1100;4183;159;2.276000304846093e-05;8
True;0000;0;0;5.2440009312704206e-06;1
True;1110;3458;268;2.549900091253221e-05;12
False;0110;2362;91;1.1693002306856215e-05;4
False;0001;1545;40;6.18400372331962e-06;2
True;0000;0;0;5.016998329665512e-06;1
False;0111;1617;270;3.0264003726188093e-05;14
True;1101;2857;283;2.602699532872066e-05;14
True;1110;3779;112;2.0901999960187823e-05;8
True;1100;3231;150;1.8592996639199555e-05;8
False;0101;3824;146;1.5165001968853176e-05;6
False;1011;4733;302;2.4835993826854974e-05;13
False;1110;5503;295;2.4345004931092262e-05;12
False;1110;1874;219;2.2815998818259686e-05;10
False;1010;4072;260;2.0922001567669213e-05;10
False;0101;3958;278;2.0507999579422176e-05;8
False;0100;1140;56;1.4416000340133905e-05;5
False;0101;2722;336;1.8733997421804816e-05;8
True;0101;2627;269;2.424600097583607e-05;11
False;1011;5977;552;2.988900087075308e-05;15
False;1100;1924;81;1.9652994524221867e-05;8
True;1110;5039;330;2.7788002626039088e-05;15
True;0101;3962;72;1.0213996574748307e-05;4
True;0110;2307;76;2.49539953074418e-05;4
True;1001;2521;232;1.9670995243359357e-05;10
True;0011;3216;185;1.685900497250259e-05;9
False;0110;4054;147;1.0773001122288406e-05;5
True;1101;4788;414;2.1842002752237022e-05;13
False;0100;631;23;1.0771000233944505e-05;3
False;1110;4297;342;2.2511994757223874e-05;12
True;1011;3661;370;2.0895000488962978e-05;11
False;0010;875;41;1.016100577544421e-05;3
False;0100;2326;8;7.549002475570887e-06;3
True;0110;4845;159;1.7354002920910716e-05;7
True;0000;0;0;4.592999175656587e-06;1
True;0111;3425;183;2.4791996111162007e-05;13
False;1011;6263;454;2.3403001250699162e-05;13
False;0011;1167;136;1.1078998795710504e-05;5
False;1101;3583;104;1.576200156705454e-05;8
True;1110;5250;320;2.4294000468216836e-05;14
False;1010;2664;225;1.497499761171639e-05;7
True;0001;1379;96;5.298999894876033e-06;2
False;1011;5836;394;2.5957000616472214e-05;15
False;1010;4091;176;1.959499786607921e-05;10
False;1101;4659;258;2.700199547689408e-05;15
True;1010;3682;137;1.742799940984696e-05;8
True;1001;1745;164;1.8042999727185816e-05;10
True;0110;3973;121;1.8730999727267772e-05;8
True;1011;3620;178;2.536600368330255e-05;13
True;0101;2370;88;1.1723997886292636e-05;6
True;0000;0;0;4.811998223885894e-06;1
True;1110;3488;436;2.525900345062837e-05;14
True;0100;2038;161;8.460003300569952e-06;3
False;0001;1691;59;7.946000550873578e-06;3
True;1101;5361;371;2.4449000193271786e-05;12
False;0101;4215;302;2.307000249857083e-05;11
True;1000;2494;17;8.184004400391132e-06;2
True;1100;2488;92;1.3731994840782136e-05;5
False;1010;3091;61;1.630200131330639e-05;7
True;1011;4642;436;2.2789994545746595e-05;13
False;1100;4132;53;1.2352000339888036e-05;4
True;1101;3391;119;2.8331996873021126e-05;8
False;1101;3346;195;1.7035999917425215e-05;8
False;1000;2268;89;1.2209995475132018e-05;4
False;1101;3137;429;2.4839995603542775e-05;14
