conf;price;weight;time;complexity
01111110111111011010;25088;1628;0.013681021999218501;1014
01101010101000010000;11403;396;0.01645662400551373;997
00110000001011011000;12894;391;0.01970743000129005;1788
01010010001001111010;14326;662;0.047635103001084644;3716
11111111101111111111;23188;2023;0.0008005810013855807;54
11111111111111110111;22176;1977;0.0009226609981851652;48
01011011101100111010;19929;968;0.035933238999859896;2369
00011111011111101111;18528;1567;0.049710288003552705;4439
00110001100000000000;7047;143;0.0040091400005621836;200
10011101110001111111;25899;1412;0.03400427699671127;2751
11110110100001010010;12400;491;0.0380380989954574;2280
11001110110111111110;25420;1843;0.007833837997168303;608
00001010000010100001;8172;357;0.004314586003602017;209
10000000100101001001;7900;249;0.0026762340057757683;182
01111110100100010110;17301;1150;0.09983662200102117;10743
00000110100110000111;14603;907;0.08606346300075529;6968
01111011101000110101;19343;912;0.09610206200159155;8476
10011111111111111111;24546;2373;0.004399982994073071;287
00101100010011100000;7323;355;0.018897815003583673;1708
00000010010000010000;5594;69;0.00029281499882927164;18
00001000010000000000;3493;68;0.0003820909987553023;23
11011111111111111111;25569;2137;0.0008304369985125959;46
00101010000000100110;10705;258;0.004931757997837849;364
01001111110110011110;24974;1535;0.03454616799717769;2781
11001110101110010111;22479;1448;0.08261400899937144;6651
11010000001000110001;12423;727;0.1908294989989372;22872
10101111000001100010;13051;632;0.008411456001340412;493
10111011101110111111;23503;1831;0.0076657659956254065;744
01110101111110111011;22037;1566;0.015219034998153802;1133
10111000110001101001;16729;966;0.1333779670021613;11904
00101111101111111111;21529;1631;0.013342619000468403;992
01000000001010111101;14486;333;0.010140500002307817;711
10110110111101111111;26050;1555;0.010500485004740767;832
11001101100010010000;13386;500;0.03653788199881092;2638
11111111111011111111;24554;2521;0.0005925220029894263;37
01010011101110101001;18640;1247;0.04905059999873629;3681
11111110111101111111;17035;2301;0.003347115001815837;236
00111101100110010110;13811;868;0.06319378600164782;3761
10001111110101111011;24197;1626;0.04452691600454273;3135
11011111111111011111;22671;2102;0.0028889270033687353;242
11111111101111111110;23369;1919;0.0011182439993717708;61
00000111000110110000;10706;379;0.011727226999937557;907
01000000000011000000;4784;205;0.0026365439989604056;134
00100010101000010100;11333;468;0.010920581000391394;870
11111111111101111110;25671;2429;0.001320591996773146;108
00001000101010000011;9458;375;0.008604632006608881;519
01111101111101111110;23048;2162;0.009560945996781811;519
10101101111001100011;18679;1153;0.050246489998244215;3590
01000100001001000000;7412;126;0.002483765005308669;172
11111111101011011111;18742;1615;0.002147204002540093;150
11111010111111111101;24947;2213;0.001190539995150175;100
11100010110100111101;20184;925;0.031693512995843776;2007
11011111101110110101;22638;1756;0.0035641979993670247;310
00100010000000000100;3931;42;0.00015906000044196844;7
00110010010010000001;8374;275;0.00737591199867893;380
11111101011101111110;24742;1943;0.003917954003554769;250
01101111001100011011;17636;1405;0.023126127001887653;1700
00110000001100100001;8346;215;0.005276101001072675;170
11011111111111111111;19955;2483;0.0010296230029780418;77
00100001000011111110;15751;889;0.13710225999966497;12177
01111111011111111111;26737;2090;0.0011302130005788058;66
11110111111111100000;24950;1234;0.01171206100116251;826
10101010000000001000;9697;393;0.012218577998282854;983
11101110111110111011;26722;2121;0.0031606470001861453;257
11111001101111011110;27575;1501;0.008822969997709151;985
00010100010011010000;7332;261;0.007878096999775153;582
00100000111010000110;9893;246;0.006729266002366785;699
00100101010011101010;17769;877;0.10081261499726679;8483
01001010011110000011;13261;1038;0.22278892600297695;23189
11011110110111111011;24594;2037;0.0060646109996014275;538
00100010100001100000;8908;201;0.00406349800323369;333
01101111010101100010;18571;823;0.06451132799702464;5142
11011111111111111111;30509;1930;0.0011812320008175448;95
11111111111111001110;19832;1473;0.004249942001479212;327
11111111111110111111;19608;2677;0.000499048997880891;28
10001000101110001011;14176;1006;0.04165508400183171;2530
11111111011111110101;21034;1417;0.002726041006098967;152
10110000011110011111;18385;672;0.07976003600197146;8291
00001001101000000100;11157;244;0.0025796910049393773;162
00000000000000010000;1914;28;8.85560002643615e-05;3
01110000100001010010;14152;569;0.06402796300244518;6250
00001010001000000000;5807;223;0.004178347000561189;279
10000111101100100001;12553;682;0.05570034800621215;3976
01111101110111110011;22347;1426;0.01400879600259941;959
01001111000110000000;10005;443;0.04847419499856187;3195
11111111101111111101;22078;2310;0.0007243610016303137;46
11101110101110011101;18496;1443;0.01705041399691254;1119
11111111011111111001;31330;1073;0.011220464999496471;769
10011000010011000011;14787;545;0.022505666005599778;1573
10110011110100011011;20431;1215;0.061008040996966884;4687
01111111111111111101;18910;2298;0.0011855109987664036;68
01101010101101110001;18041;987;0.09520889200211968;7709
00000011001000100000;5950;137;0.000726297999790404;32
11111111111011001011;24612;1376;0.014717447003931738;1409
01010101101001010110;17346;1166;0.10589853899728041;8261
10011101111110011000;18578;1071;0.02192301899776794;1381
01010111111011100001;17600;1286;0.06028982800489757;5949
11111111111111011111;20230;2337;0.0007401249968097545;41
01111101111011111111;23841;2026;0.005912209002417512;369
00011111011001011000;16059;862;0.12813096099853283;11477
00111010110011001001;17333;1075;0.15274201400461607;14745
01000110001011111100;14503;811;0.18191855999612017;20179
01010001111011011101;17156;1178;0.06645959399611456;4692
00001100010100000010;7602;348;0.003528794004523661;237
10100100011100001010;10510;390;0.019126327002595644;1337
00000010000000011000;5646;77;0.00040500800241716206;26
00110100001001000001;9157;222;0.005930015002377331;352
11111111111110111111;24781;2134;0.0006149100008769892;42
11111111111111111110;24445;2874;0.0005182900058571249;20
11010010100101011100;15440;351;0.011077734001446515;741
01111101110101111101;21621;2082;0.007353343004069757;585
11001111101111111101;23026;1662;0.004197449001367204;381
11111000001011111010;19365;1417;0.05629776799469255;3837
11111111101001110101;24074;1544;0.0006821679999120533;40
11111111111111101111;27628;2233;0.0005561599973589182;24
11100111100001101101;19258;1264;0.04362143899925286;3708
11100101111011111111;23934;1184;0.013701882999157533;1343
11011110100110011011;20126;751;0.021772230000351556;1458
01011100101111101111;23263;1184;0.048077388004458044;4571
11110100000100000001;10821;517;0.03160114199999953;2414
11110111010010110010;16384;1050;0.009887894004350528;644
11111111111101001101;28199;1916;0.005831238995597232;428
00000100001000110100;10482;232;0.008380027997191064;783
11111110011111111111;26199;2265;0.0013677440001629293;139
10011101000111000101;19207;583;0.07645216599485138;6122
10001011010001010010;13684;1066;0.05901336700480897;4331
11111111111001011011;26875;1658;0.001975519997358788;208
10010000111001001000;9324;370;0.020977858002879657;1602
00100000001100001001;6596;298;0.003153752004436683;260
10111111110111011101;24750;1287;0.003960072994232178;309
11110001101011000111;16183;1243;0.16791589000058593;13869
00111111101101111111;24368;1728;0.01669560300069861;1152
01100010100100011100;13428;392;0.01581156099564396;1013
11111111111111101111;28544;2181;0.0009733699989737943;29
11111111001101111110;21952;1688;0.0028570069989655167;181
01011011111110110101;21974;1740;0.034439533003023826;3013
00000100011100000100;8945;312;0.00437334999878658;517
11111111100100111111;22164;2046;0.0018907209960161708;268
01111110111111111110;21426;2045;0.004020617998321541;251
11110010111110111010;20635;1669;0.010419748003187124;932
10101111110110101100;20138;1412;0.040327199996681884;2625
11111110111111111111;25520;2254;0.0008285930016427301;65
00101110100000000101;11406;992;0.12743482099904213;10643
00000100000000000000;602;4;8.812900341581553e-05;2
01011011001011010111;17095;957;0.06381359999795677;4714
11111101100110001010;18042;750;0.0453607009985717;3366
01111001110101101101;21473;1155;0.06523136900068494;3986
11111110100100101011;22918;1275;0.012096958998881746;924
11101111111011011111;25147;2702;0.0018011800057138316;118
11111110111111111111;24975;2808;0.0012125389985158108;59
10111110010000001000;13610;338;0.02969443000620231;2817
01110001111001010001;17124;579;0.056694303995755035;3437
