conf;price;weight;time;complexity;optimal
0110;3402;91;2.28120043175295e-05;6;True
0001;1289;3;7.862996426410973e-06;2;True
0101;2691;192;1.6768994100857526e-05;5;True
0100;2173;184;1.6236001101788133e-05;3;True
0110;3248;220;2.0861996745225042e-05;5;True
1001;3340;237;1.3062999641988426e-05;3;True
1010;3497;192;1.8981998437084258e-05;5;True
1110;5201;146;2.2273998183663934e-05;6;True
0010;1867;25;9.151000995188951e-06;2;True
0111;5518;385;2.5182001991197467e-05;8;True
0010;2413;42;9.349998435936868e-06;2;True
0101;3499;216;1.8535996787250042e-05;5;True
1011;3567;413;2.015600330196321e-05;6;True
1110;5403;207;1.769700611475855e-05;4;True
1010;3213;42;1.5268000424839556e-05;4;True
0001;2445;221;1.8111000827047974e-05;5;True
0000;0;0;7.2549955802969635e-06;1;True
0101;2993;52;1.0711002687457949e-05;3;True
0110;3018;131;1.2205004168208688e-05;3;True
1110;4255;285;1.7074002244044095e-05;4;True
1010;4162;119;2.0321000192780048e-05;5;True
1011;5875;122;2.2328997147269547e-05;7;True
1000;2120;16;1.1824995453935117e-05;2;True
0101;3619;201;2.2611005988437682e-05;7;True
0000;0;0;7.1260001277551055e-06;1;True
1001;4413;191;1.600399991730228e-05;4;True
0010;2364;30;8.900002285372466e-06;2;True
0101;3248;286;1.7605998436920345e-05;4;True
1011;5691;454;2.0626997866202146e-05;7;True
0110;2980;46;1.8825005099643022e-05;5;True
1011;4369;459;1.8612001440487802e-05;6;True
0010;1063;121;1.8266997358296067e-05;5;True
1100;3557;146;2.02369992621243e-05;5;True
1101;4346;403;1.811699621612206e-05;5;True
0011;1822;396;1.813299604691565e-05;6;True
1110;2302;446;1.7198995919898152e-05;4;True
0100;2006;184;1.7297999875154346e-05;4;True
0010;1055;75;8.946997695602477e-06;2;True
1101;5086;338;1.7578000552020967e-05;5;True
1110;1535;279;1.6979996871668845e-05;4;True
1110;6234;365;1.7005004337988794e-05;4;True
0111;2455;289;2.3271000827662647e-05;8;True
0000;0;0;7.372000254690647e-06;1;True
0000;0;0;7.181995897553861e-06;1;True
0110;4255;240;1.89139973372221e-05;5;True
1101;4518;221;1.8883001757785678e-05;5;True
1101;3482;90;1.5468998753931373e-05;4;True
0010;2446;25;1.2444004823919386e-05;3;True
1011;3000;466;1.7676997231319547e-05;5;True
1011;3714;340;2.012400364037603e-05;7;True
1000;2483;98;1.3757002307102084e-05;3;True
1100;475;75;1.8111000827047974e-05;4;True
1100;3621;269;2.0150997443124652e-05;5;True
