conf;price;weight;time;complexity;valid
00000000000000000000;18085;0;8.241000614361838e-06;15;False
00000000000000000000;14608;0;8.326001989189535e-06;16;False
00000000000000000000;18617;0;7.522001396864653e-06;16;False
00000000000000000000;18044;0;7.770999218337238e-06;16;False
00000000000000000000;15170;0;7.937000191304833e-06;17;False
00000000000000000000;19237;0;7.604998245369643e-06;16;False
00000000000000000000;17469;0;7.983002433320507e-06;16;False
00000000000000000000;16993;0;8.374001481570303e-06;16;False
00000000000000000000;16231;0;7.614999049110338e-06;16;False
00000000000000000000;17573;0;7.631999324075878e-06;15;False
00000000000000000000;16132;0;7.235001248773187e-06;16;False
00000000000000000000;14968;0;8.833998435875401e-06;17;False
00000000000000000000;17618;0;7.611000910401344e-06;16;False
00000000000000000000;16122;0;1.0992000170517713e-05;16;False
00000000000000000000;15609;0;1.0806998034240678e-05;16;False
00000000000000000000;17092;0;8.985000022221357e-06;16;False
00000000000000000000;14512;0;7.98199835116975e-06;16;False
00000000000000000000;18160;0;8.00099951447919e-06;16;False
00000000000000000000;16324;0;7.463997462764382e-06;16;False
00000000000000000000;14675;0;7.995997293619439e-06;16;False
00000000000000000000;17387;0;7.381000614259392e-06;16;False
00000000000000000000;19304;0;8.025002898648381e-06;16;False
00000000000000000000;18058;0;7.210001058410853e-06;16;False
00000000000000000000;13176;0;8.338996849488467e-06;17;False
00000000000000000000;19046;0;7.329999789362773e-06;16;False
00000000000000000000;16009;0;7.713002560194582e-06;17;False
00000000000000000000;14970;0;8.317998435813934e-06;16;False
00000000000000000000;17550;0;7.857001037336886e-06;16;False
00000000000000000000;17197;0;8.030001481529325e-06;17;False
00000000000000000000;17905;0;7.794998964527622e-06;16;False
00000000000000000000;17263;0;9.07800131244585e-06;16;False
00000000000000000000;15252;0;8.494000212522224e-06;16;False
00000000000000000000;20814;0;7.5600000855047256e-06;16;True
00000000000000000000;16411;0;2.9336999432416633e-05;17;False
00000000000000000000;17252;0;8.481001714244485e-06;17;False
00000000000000000000;17373;0;8.43199813971296e-06;17;True
00000000000000000000;15655;0;8.263999916380271e-06;16;False
00000000000000000000;15585;0;8.184000762412325e-06;16;False
00000000000000000000;16908;0;1.6952999430941418e-05;16;False
00000000000000000000;18151;0;3.3854001230793074e-05;16;False
00000000000000000000;16488;0;7.636001100763679e-06;17;True
00000000000000000000;16439;0;7.869002729421481e-06;17;False
00000000000000000000;15545;0;7.946000550873578e-06;16;False
00000000000000000000;15224;0;7.660997653147206e-06;16;False
00000000000000000000;14538;0;7.70199767430313e-06;16;False
00000000000000000000;18055;0;7.82799907028675e-06;16;False
00000000000000000000;16479;0;7.233000360429287e-06;16;False
00000000000000000000;18261;0;8.052997145568952e-06;16;False
00000000000000000000;17331;0;7.727998308837414e-06;15;False
00000000000000000000;16725;0;7.700997230131179e-06;16;False
00000000000000000000;16913;0;7.523998647229746e-06;15;False
00000000000000000000;18383;0;1.1598000128287822e-05;16;False
00000000000000000000;17978;0;7.5979987741447985e-06;16;False
00000000000000000000;18280;0;7.86300006438978e-06;16;False
00000000000000000000;15346;0;7.873997674323618e-06;16;False
00000000000000000000;17409;0;7.836999429855496e-06;16;False
00000000000000000000;13652;0;7.598999218316749e-06;17;False
00000000000000000000;15962;0;7.876999006839469e-06;17;False
00000000000000000000;14905;0;7.485999958589673e-06;16;False
00000000000000000000;16758;0;7.865997758926824e-06;16;False
00000000000000000000;17536;0;8.107002940960228e-06;16;False
00000000000000000000;16546;0;7.802998879924417e-06;17;False
00000000000000000000;18555;0;7.3499977588653564e-06;15;False
00000000000000000000;17364;0;7.937000191304833e-06;17;False
00000000000000000000;16984;0;1.1743999493774027e-05;16;False
00000000000000000000;17050;0;8.252998668467626e-06;16;False
00000000000000000000;16987;0;8.207000064430758e-06;17;False
00000000000000000000;19575;0;7.719001587247476e-06;16;False
